Site,SO1,SO2,SO3,SO4,R,C,Kud,Imp,Hum,AllPrey,Bound,Post
149_02,0,0,0,0,1.94,0.71,0.99,0.13,0.33,0.62,52.23,42.79
149_03,0,0,0,0,0.51,0.27,0.99,0.33,0.35,0.68,52.61,41.54
149_04,0,0,0,0,0.32,0.44,0.96,0.25,0.17,0.68,51.32,40.90
149_05,0,0,0,0,0.23,0.81,0.94,0.10,0.15,0.64,50.29,39.41
149_06,0,1,0,.,0.21,0.81,0.93,0.14,0.16,0.64,49.44,38.03
150_01,1,1,1,1,0.23,0.34,0.81,0.32,0.10,0.65,66.95,39.46
150_02,0,0,0,0,0.36,0.18,0.87,0.38,0.10,0.68,68.34,39.49
150_03,0,0,0,0,0.36,0.28,0.86,0.34,0.09,0.68,69.77,39.53
150_04,0,0,0,0,0.26,0.22,0.87,0.36,0.09,0.67,71.49,40.44
150_05,0,0,1,0,0.27,0.13,0.88,0.41,0.09,0.68,72.65,41.60
150_06,0,0,0,0,0.31,0.13,0.85,0.43,0.09,0.68,73.53,42.78
150_08,0,0,0,0,0.14,0.18,0.76,0.50,0.12,0.68,65.48,39.29
150_09,0,0,.,.,0.29,0.13,0.71,0.62,0.13,0.68,64.99,39.83
150_10,0,0,0,0,0.51,0.24,0.75,0.47,0.11,0.67,65.71,39.95
150_11,0,0,0,0,0.68,0.54,0.66,0.33,0.12,0.61,64.90,41.65
153_01,0,0,0,0,2.94,0.61,0.70,0.22,0.14,0.56,58.39,40.97
153_02,0,0,0,0,2.96,0.57,0.69,0.23,0.13,0.56,59.51,41.61
153_03,0,0,0,0,3.35,0.50,0.71,0.25,0.13,0.57,60.24,42.04
153_04,0,1,0,0,3.82,0.39,0.76,0.37,0.13,0.60,60.30,42.27
154_01,1,1,0,0,0.86,0.39,0.96,0.72,0.16,0.67,45.68,32.72
154_02,0,0,0,0,0.82,0.35,0.96,0.69,0.16,0.67,47.56,34.24
154_03,0,0,0,0,1.26,0.20,0.95,0.77,0.17,0.65,49.05,36.00
154_04,0,0,0,0,1.90,0.16,0.96,0.70,0.16,0.63,50.76,37.65
154_05,0,0,0,0,2.47,0.23,0.93,0.50,0.14,0.62,52.62,37.27
154_06,0,1,0,1,3.01,0.43,0.82,0.23,0.13,0.60,54.51,36.46
154_07,1,0,0,0,3.72,0.52,0.73,0.26,0.13,0.57,56.21,36.18
154_08,0,1,1,1,3.65,0.56,0.68,0.27,0.12,0.56,58.01,35.84
154_09,0,0,0,0,3.02,0.68,0.70,0.16,0.11,0.55,59.76,34.46
155_01,0,1,0,1,2.79,0.54,0.96,0.72,0.20,0.63,31.90,24.38
155_02,0,1,1,0,2.57,0.57,0.96,0.73,0.20,0.63,31.81,25.60
155_04,0,0,0,0,1.14,0.11,0.93,0.83,0.19,0.65,36.80,25.58
155_05,0,0,0,0,0.92,0.12,0.94,0.82,0.18,0.66,38.67,27.23
155_06,0,1,0,1,0.65,0.16,0.95,0.81,0.18,0.66,40.54,28.69
155_07,1,1,1,1,0.72,0.11,0.95,0.80,0.18,0.66,42.42,30.23
155_08,1,1,.,.,1.03,0.07,0.95,0.79,0.17,0.66,43.86,31.37
156_01,0,0,0,0,3.88,0.65,0.94,0.76,0.22,0.62,30.17,25.92
156_02,0,0,0,0,4.59,0.70,0.96,0.73,0.22,0.63,28.91,26.09
156_03,0,1,0,0,5.04,0.41,0.96,0.75,0.23,0.64,28.54,27.35
156_04,1,1,1,1,5.31,0.22,0.97,0.70,0.23,0.64,29.02,28.06
156_05,0,0,0,0,5.30,0.42,0.97,0.60,0.22,0.63,28.70,26.74
156_06,1,0,1,0,4.18,0.58,0.98,0.63,0.21,0.64,28.28,25.09
156_07,0,0,0,1,3.08,0.58,0.97,0.63,0.20,0.64,28.42,23.70
156_08,0,0,0,0,2.52,0.40,0.96,0.74,0.21,0.63,28.44,22.23
157_01,1,0,1,1,1.06,0.81,0.93,0.81,0.21,0.64,15.29,6.68
157_02,1,0,0,0,1.33,0.79,0.93,0.81,0.21,0.64,16.88,8.46
157_03,0,0,0,0,2.14,0.73,0.93,0.80,0.20,0.64,18.55,9.73
157_04,0,0,0,0,1.13,0.78,0.93,0.80,0.20,0.64,20.05,10.70
157_05,0,0,0,0,1.30,0.65,0.93,0.80,0.20,0.63,21.48,12.50
157_06,0,0,0,0,3.05,0.49,0.94,0.79,0.21,0.63,22.39,14.20
157_07,0,0,0,0,4.15,0.53,0.93,0.76,0.20,0.63,23.86,15.72
157_08,0,0,0,0,4.46,0.52,0.93,0.79,0.20,0.63,25.19,16.42
157_09,0,0,0,0,4.06,0.46,0.94,0.75,0.19,0.63,26.86,17.96
158_01,0,0,0,0,0.28,0.10,0.95,0.90,0.25,0.77,11.32,1.36
158_02,0,0,0,0,1.09,0.38,0.91,0.87,0.22,0.70,11.14,0.90
158_03,0,0,0,0,1.77,0.51,0.94,0.80,0.20,0.64,12.72,2.70
158_04,0,0,0,1,1.00,0.78,0.94,0.80,0.20,0.64,14.21,4.55
158_05,0,0,0,0,0.68,0.34,0.89,0.90,0.29,0.73,7.36,4.25
158_06,0,0,0,0,0.56,0.30,0.87,0.92,0.31,0.74,6.36,5.91
158_07,0,0,0,0,0.72,0.28,0.88,0.91,0.34,0.75,5.35,7.60
158_08,0,0,0,0,0.44,0.46,0.88,0.92,0.37,0.77,3.93,9.54
158_09,0,0,0,0,0.55,0.58,0.90,0.90,0.36,0.75,2.87,11.27
158_10,0,0,0,0,1.07,0.83,0.93,0.82,0.32,0.66,3.78,12.12
158_11,0,0,.,.,0.30,0.68,0.94,0.79,0.31,0.66,4.74,13.02
159_01,0,0,0,0,1.35,0.55,1.00,0.78,0.60,0.66,0.60,15.02
159_02,0,0,0,0,0.71,0.15,0.90,0.61,0.75,0.41,0.37,17.00
159_03,0,0,0,0,1.07,0.07,0.33,0.41,0.00,0.19,1.63,18.76
159_04,0,0,0,1,2.43,0.28,0.39,0.50,0.00,0.22,0.29,14.27
159_05,1,1,0,0,3.08,0.41,0.38,0.47,0.00,0.21,1.18,14.01
159_06,0,0,0,0,1.18,0.61,0.42,0.46,0.00,0.22,2.89,22.91
159_07,0,0,0,0,0.39,0.45,0.42,0.45,0.00,0.22,2.33,21.09
159_08,0,0,0,0,0.66,0.20,0.37,0.48,0.00,0.21,1.78,19.24
159_09,0,0,0,0,1.26,0.15,0.34,0.49,0.00,0.21,0.92,17.49
159_10,0,0,0,0,0.85,0.18,0.71,0.56,0.79,0.32,0.25,15.65
164_01,0,0,0,0,1.70,0.92,0.98,0.09,0.65,0.58,30.46,63.29
164_02,0,0,0,0,3.63,0.83,0.98,0.08,0.67,0.58,28.52,64.82
164_03,1,0,0,0,3.87,0.85,0.99,0.07,0.68,0.59,26.59,65.18
164_04,0,0,0,0,2.15,0.99,0.99,0.05,0.69,0.60,24.66,65.02
164_05,0,0,.,.,0.77,0.98,0.98,0.07,0.72,0.61,23.25,64.83
164_06,0,0,0,0,0.46,0.90,0.98,0.09,0.75,0.62,17.39,62.94
164_07,0,1,0,0,0.48,0.77,0.98,0.13,0.75,0.64,19.22,63.21
164_08,0,0,0,0,0.52,0.86,0.98,0.10,0.73,0.62,21.08,64.00
164_09,0,0,.,.,0.23,0.90,0.98,0.09,0.73,0.62,22.39,64.62
165_01,0,0,0,0,1.83,0.57,0.98,0.21,0.53,0.63,36.72,49.46
165_02,0,0,0,0,2.67,0.71,0.98,0.13,0.52,0.59,37.13,51.40
165_03,0,0,0,0,2.01,0.97,0.98,0.06,0.51,0.58,37.57,53.27
165_04,0,0,0,0,0.86,0.84,0.98,0.10,0.53,0.61,38.46,54.96
165_05,0,0,0,1,0.35,0.92,0.98,0.09,0.54,0.60,38.16,56.54
165_06,0,0,0,0,0.79,0.89,0.98,0.12,0.57,0.59,36.96,57.78
165_07,0,0,0,0,1.32,0.92,0.98,0.08,0.58,0.58,35.71,58.94
165_08,0,0,0,0,1.26,0.99,0.98,0.06,0.60,0.58,33.97,60.42
165_09,0,0,0,0,0.38,0.94,0.97,0.09,0.63,0.59,32.45,61.64
166_01,0,0,0,0,0.68,0.64,0.98,0.17,0.50,0.62,34.56,44.29
166_02,0,0,0,0,1.95,0.64,0.99,0.16,0.49,0.60,33.74,42.60
166_03,0,0,0,0,1.93,0.68,0.98,0.15,0.47,0.58,33.25,40.89
166_04,0,0,1,1,2.46,0.84,0.98,0.09,0.46,0.56,32.43,39.45
166_05,0,0,0,0,2.81,0.89,0.99,0.06,0.44,0.58,31.45,38.13
166_07,0,0,0,0,0.28,0.64,0.98,0.18,0.51,0.62,35.23,45.85
166_08,0,0,0,0,0.76,0.82,0.98,0.12,0.50,0.61,36.17,47.56
166_09,0,0,0,0,0.97,0.54,0.99,0.22,0.38,0.64,42.44,36.15
167_01,0,0,1,0,0.16,0.30,0.95,0.39,0.17,0.68,48.51,36.78
167_02,0,0,0,0,0.21,0.32,0.96,0.31,0.17,0.68,46.88,36.14
167_03,0,0,0,0,0.31,0.32,0.97,0.30,0.18,0.68,45.23,35.81
167_04,0,0,0,.,0.21,0.69,0.94,0.14,0.17,0.65,43.88,35.52
171_01,0,0,0,0,2.22,0.38,0.77,0.33,0.14,0.59,59.66,41.90
171_02,0,0,0,0,0.72,0.25,0.81,0.40,0.14,0.62,58.67,41.11
171_03,1,0,0,0,0.88,0.48,0.81,0.28,0.13,0.61,57.23,39.88
171_04,0,0,0,.,0.77,0.64,0.77,0.20,0.13,0.59,56.40,39.51
173_01,0,0,0,0,0.63,0.04,0.88,0.91,0.21,0.75,25.21,9.60
173_02,0,0,0,0,1.22,0.00,0.93,0.86,0.18,0.72,26.94,10.75
173_03,0,0,0,0,1.76,0.03,0.94,0.83,0.17,0.70,28.63,11.89
173_04,0,1,1,0,3.70,0.02,0.96,0.75,0.17,0.64,30.96,17.70
173_05,0,0,0,0,2.86,0.27,0.96,0.73,0.17,0.64,31.22,19.24
173_06,0,0,0,0,1.92,0.20,0.97,0.68,0.17,0.65,32.03,20.76
173_07,0,0,0,0,1.18,0.08,0.96,0.77,0.19,0.65,33.65,22.55
173_08,0,0,.,.,0.96,0.27,0.93,0.82,0.19,0.65,34.83,23.80
173_09,0,0,0,0,2.75,0.19,0.97,0.73,0.18,0.64,31.38,20.84
173_10,0,0,0,0,3.02,0.20,0.97,0.73,0.19,0.64,32.10,22.50
174_01,0,0,0,1,0.26,0.07,0.87,0.93,0.28,0.76,20.09,13.47
174_02,0,0,0,0,0.42,0.04,0.86,0.93,0.30,0.76,18.77,14.66
174_03,0,0,0,0,0.39,0.04,0.89,0.92,0.31,0.76,17.78,16.01
174_04,0,0,0,0,0.76,0.06,0.86,0.93,0.34,0.76,16.18,16.35
174_05,0,0,0,0,0.62,0.04,0.83,0.94,0.34,0.75,14.86,16.12
174_06,0,0,0,0,0.30,0.01,0.84,0.94,0.35,0.76,14.25,15.80
174_07,0,0,0,0,0.25,0.08,0.85,0.93,0.34,0.76,14.38,16.21
174_08,0,0,0,0,0.21,0.03,0.86,0.93,0.34,0.75,14.44,16.48
175_01,0,0,0,0,0.14,0.02,0.83,0.94,0.35,0.76,13.41,15.65
175_02,0,0,0,1,0.23,0.03,0.87,0.93,0.35,0.75,13.49,15.94
175_03,1,1,1,0,0.39,0.17,0.92,0.93,0.34,0.76,14.49,16.08
175_04,1,1,0,0,0.35,0.23,0.92,0.91,0.31,0.76,15.46,14.63
175_05,0,0,0,0,0.33,0.35,0.88,0.92,0.31,0.76,15.19,12.91
175_06,0,1,0,1,0.44,0.25,0.88,0.92,0.30,0.76,15.24,11.43
175_07,1,1,0,0,0.32,0.32,0.92,0.89,0.26,0.76,15.47,10.03
175_08,0,0,0,0,0.41,0.27,0.92,0.89,0.27,0.77,14.61,8.68
175_09,0,0,0,0,0.56,0.33,0.86,0.93,0.28,0.76,13.66,7.22
176_01,0,0,0,0,0.56,0.72,1.00,0.77,0.49,0.64,7.14,8.40
176_02,0,0,0,0,1.68,0.63,1.00,0.73,0.50,0.62,6.01,9.05
176_03,0,0,0,0,2.24,0.30,1.00,0.77,0.52,0.63,4.74,10.16
176_04,0,0,0,0,0.84,0.09,1.00,0.76,0.55,0.63,3.27,11.64
176_05,0,1,.,.,0.40,0.21,1.00,0.70,0.55,0.63,2.07,12.91
176_06,0,0,0,0,2.43,0.32,1.00,0.76,0.51,0.62,5.63,9.20
176_07,0,0,0,0,1.36,0.79,1.00,0.77,0.48,0.62,7.08,7.40
176_08,0,0,0,0,1.16,0.83,1.00,0.78,0.46,0.61,8.13,5.51
176_09,0,0,0,0,1.97,0.79,1.00,0.79,0.44,0.63,8.68,3.61
176_10,0,0,.,.,1.04,0.89,0.99,0.88,0.47,0.69,8.93,2.30
184_01,1,0,0,0,2.01,0.52,0.99,0.17,0.48,0.61,30.21,36.87
184_02,1,1,0,0,0.59,0.74,1.00,0.07,0.46,0.64,28.86,36.34
184_03,0,0,0,0,0.24,0.92,0.99,0.06,0.48,0.62,27.57,37.61
185_01,0,0,0,0,0.39,0.89,0.81,0.08,0.08,0.61,43.69,13.53
185_02,0,0,0,0,1.16,0.98,0.82,0.06,0.09,0.61,42.30,15.22
185_03,0,0,0,0,2.41,0.79,0.84,0.10,0.11,0.61,40.60,17.04
185_04,1,0,0,0,2.82,0.73,0.91,0.07,0.11,0.62,39.27,18.92
185_05,0,0,0,0,1.09,0.82,0.89,0.08,0.12,0.62,38.20,20.76
185_06,0,0,0,0,0.37,0.79,0.89,0.08,0.13,0.63,36.81,22.63
185_07,1,0,0,0,1.64,0.82,0.88,0.06,0.14,0.62,35.16,24.39
186_01,0,0,0,0,0.60,0.47,0.81,0.31,0.05,0.64,54.87,0.79
186_02,1,0,0,0,0.55,0.43,0.82,0.30,0.05,0.65,53.95,2.48
186_03,0,0,0,0,1.60,0.65,0.76,0.22,0.06,0.61,53.36,4.29
186_04,0,0,0,0,3.16,0.61,0.81,0.21,0.06,0.62,52.01,5.99
186_05,0,0,0,0,3.20,0.53,0.83,0.21,0.07,0.62,50.35,7.55
186_06,0,0,1,0,2.49,0.72,0.79,0.16,0.07,0.61,48.74,9.35
186_07,0,1,1,0,1.01,0.79,0.81,0.11,0.07,0.60,46.87,10.83
186_08,0,0,.,.,0.32,0.78,0.79,0.12,0.08,0.61,45.53,11.95
186_09,0,0,.,.,0.61,0.36,0.84,0.27,0.05,0.64,55.28,0.78
189_01,1,0,0,1,0.23,0.17,0.95,0.76,0.15,0.71,43.92,24.82
189_02,1,1,1,0,0.28,0.33,0.94,0.69,0.15,0.70,42.35,24.04
189_03,0,0,0,0,0.27,0.29,0.93,0.75,0.16,0.69,40.69,23.32
189_04,1,0,1,0,0.35,0.25,0.96,0.63,0.14,0.63,39.21,21.24
189_05,1,1,1,1,0.72,0.44,0.94,0.51,0.13,0.60,40.40,20.06
189_06,1,0,1,0,1.81,0.56,0.94,0.42,0.12,0.59,41.47,19.07
189_07,0,0,1,.,1.72,0.58,0.95,0.40,0.12,0.60,41.33,18.19
189_08,0,0,0,0,1.16,0.26,0.96,0.74,0.15,0.68,43.82,26.15
189_09,0,0,0,.,1.42,0.16,0.97,0.72,0.15,0.66,42.71,27.23
190_01,0,0,0,0,0.34,0.41,0.95,0.81,0.17,0.68,41.53,27.88
190_02,0,0,0,0,1.14,0.09,0.97,0.74,0.17,0.67,40.53,26.54
190_03,0,0,0,0,2.28,0.06,0.98,0.71,0.16,0.66,39.69,24.92
190_04,0,0,0,1,2.81,0.02,0.99,0.65,0.15,0.67,39.10,23.56
190_05,1,0,0,0,1.44,0.02,0.98,0.69,0.15,0.67,38.34,22.19
190_06,0,0,1,1,0.39,0.04,0.98,0.70,0.15,0.68,37.70,21.04
190_07,0,0,0,0,1.64,0.01,0.98,0.71,0.15,0.66,36.84,19.75
190_08,0,0,0,0,2.34,0.08,0.95,0.76,0.15,0.64,35.29,18.06
191_01,0,0,0,1,0.24,0.31,0.91,0.81,0.18,0.70,27.62,13.45
191_02,0,0,0,0,0.17,0.39,0.91,0.80,0.18,0.70,26.61,11.81
191_03,0,0,0,0,0.20,0.53,0.93,0.81,0.18,0.71,25.89,10.15
191_04,0,0,0,1,0.34,0.53,0.92,0.86,0.18,0.72,25.16,8.61
191_05,0,0,0,0,0.16,0.13,0.92,0.88,0.19,0.73,24.37,7.20
191_06,0,0,0,0,0.22,0.19,0.92,0.87,0.18,0.72,24.62,6.92
191_07,0,0,0,0,1.27,0.37,0.96,0.76,0.15,0.66,25.91,7.71
191_08,0,0,0,0,2.51,0.31,0.96,0.72,0.15,0.64,26.96,8.55
192_01,1,1,0,0,0.97,0.80,0.97,0.79,0.21,0.66,13.10,5.58
192_02,1,0,0,0,2.50,0.74,0.95,0.72,0.20,0.64,13.09,5.43
192_03,0,0,0,0,2.68,0.59,0.95,0.78,0.20,0.64,13.96,4.87
192_04,0,0,0,0,1.77,0.35,0.95,0.80,0.20,0.67,14.45,5.12
192_05,0,0,0,0,0.45,0.08,0.91,0.88,0.23,0.72,14.33,6.44
192_06,0,1,0,1,0.47,0.10,0.86,0.92,0.27,0.74,14.70,7.71
192_07,0,1,0,0,0.50,0.37,0.87,0.92,0.27,0.75,15.41,9.06
192_08,0,1,0,0,1.45,0.64,0.94,0.83,0.24,0.69,14.51,10.61
192_09,0,0,0,0,0.88,0.70,0.94,0.83,0.25,0.69,14.11,11.59
192_10,0,1,0,0,0.34,0.17,0.89,0.90,0.28,0.73,14.58,12.37
193_01,0,0,0,0,0.26,0.27,0.36,0.38,0.00,0.20,1.48,3.35
193_02,0,0,0,0,0.82,0.11,0.45,0.42,0.00,0.22,1.31,2.75
193_03,0,0,0,0,1.98,0.13,0.46,0.40,0.00,0.21,1.20,2.72
193_04,0,0,0,0,0.85,0.31,0.96,0.73,0.62,0.53,0.47,1.14
193_05,0,0,0,0,0.72,0.11,1.00,0.81,0.49,0.69,1.81,0.87
193_06,0,1,0,0,2.39,0.12,1.00,0.73,0.47,0.64,2.25,2.60
193_07,0,0,0,0,2.84,0.38,1.00,0.58,0.47,0.61,1.87,4.34
193_08,0,0,0,0,1.71,0.50,0.99,0.52,0.48,0.60,2.51,6.15
193_09,0,0,0,0,1.02,0.60,0.99,0.50,0.48,0.59,3.65,8.02
196_05,0,0,0,0,1.05,0.14,0.09,0.12,0.00,0.09,13.93,34.00
205_01,0,0,0,0,1.06,0.74,0.93,0.31,0.12,0.62,41.55,21.49
205_02,0,1,1,1,1.51,0.47,0.79,0.26,0.12,0.63,43.07,19.96
205_03,0,0,0,0,2.58,0.48,0.84,0.27,0.11,0.64,44.88,18.11
205_04,0,1,1,1,2.93,0.60,0.87,0.18,0.09,0.64,46.55,16.41
205_05,1,1,0,0,2.58,0.89,0.78,0.09,0.08,0.60,47.71,15.32
205_06,0,0,1,1,1.22,0.97,0.71,0.09,0.08,0.60,48.47,14.91
205_07,1,1,1,1,0.26,0.95,0.73,0.09,0.08,0.62,49.59,14.33
205_08,1,1,0,0,0.13,0.86,0.80,0.10,0.07,0.64,51.06,13.50
206_01,0,0,0,0,1.08,0.50,0.95,0.67,0.15,0.71,35.72,16.71
206_02,0,0,0,0,1.61,0.73,0.97,0.29,0.13,0.65,37.33,18.45
206_03,0,0,0,0,1.51,0.85,0.97,0.25,0.12,0.62,39.01,20.10
206_04,0,0,.,.,1.42,0.87,0.96,0.24,0.12,0.60,40.12,21.26
206_05,0,0,0,1,1.08,0.50,0.95,0.67,0.15,0.71,35.72,16.71
206_06,0,0,0,0,1.61,0.73,0.97,0.29,0.13,0.65,37.33,18.45
206_07,1,1,1,1,1.51,0.85,0.97,0.25,0.12,0.62,39.01,20.10
206_08,0,0,.,.,1.42,0.87,0.96,0.24,0.12,0.60,40.12,21.26
207_01,1,0,0,0,0.88,0.56,0.94,0.45,0.12,0.64,40.76,17.14
207_02,0,1,.,.,0.26,0.56,0.94,0.48,0.12,0.66,40.22,16.38
207_03,1,1,1,1,0.30,0.59,0.95,0.44,0.12,0.68,40.05,16.01
207_04,1,1,0,0,0.27,0.62,0.94,0.50,0.12,0.68,40.59,16.32
207_05,0,0,.,.,0.23,0.52,0.96,0.53,0.12,0.70,40.92,16.52
207_06,0,0,0,0,1.16,0.84,0.94,0.30,0.11,0.61,38.52,14.84
207_07,0,0,0,0,1.92,0.27,0.96,0.65,0.12,0.64,37.08,13.69
207_08,0,0,0,0,2.34,0.33,0.96,0.62,0.12,0.63,36.09,13.14
208_01,0,0,0,0,0.21,0.08,0.87,0.92,0.31,0.76,21.68,20.68
208_02,0,1,1,0,0.19,0.10,0.87,0.92,0.31,0.75,23.01,22.11
208_03,0,0,0,0,0.16,0.10,0.86,0.92,0.30,0.75,24.45,21.29
208_04,0,0,0,0,0.23,0.12,0.86,0.92,0.28,0.75,26.06,19.40
208_05,0,0,0,0,0.37,0.06,0.86,0.92,0.25,0.75,27.72,17.49
208_06,0,0,1,0,0.57,0.12,0.89,0.90,0.22,0.76,29.18,15.75
208_07,0,0,0,0,0.34,0.15,0.91,0.88,0.20,0.76,29.82,13.97
208_08,0,0,0,0,0.22,0.26,0.87,0.90,0.21,0.76,28.88,12.18
208_09,0,0,.,.,0.14,0.20,0.86,0.90,0.21,0.76,27.66,10.96
209_01,0,0,0,0,0.29,0.34,0.87,0.93,0.32,0.77,17.46,13.62
209_02,0,0,0,0,0.26,0.12,0.85,0.93,0.32,0.76,17.90,15.24
209_03,0,0,0,0,0.33,0.15,0.88,0.92,0.31,0.76,18.65,16.53
209_04,0,0,0,0,0.40,0.33,0.92,0.87,0.26,0.74,19.93,17.01
209_05,0,0,0,0,1.52,0.54,0.96,0.72,0.22,0.65,20.87,15.91
209_06,0,0,0,0,3.09,0.72,0.96,0.73,0.20,0.65,21.23,14.43
209_07,0,0,1,1,3.88,0.74,0.97,0.74,0.19,0.66,22.02,13.17
209_08,0,0,0,0,3.99,0.51,0.97,0.66,0.19,0.65,22.74,14.27
210_01,0,0,0,0,0.70,0.16,1.00,0.69,0.66,0.64,0.53,21.25
210_02,0,0,1,0,1.53,0.53,0.98,0.55,0.74,0.48,0.38,20.66
210_03,0,0,0,0,0.96,0.42,0.91,0.53,0.78,0.38,0.12,20.14
210_04,0,0,0,0,0.25,0.37,0.73,0.48,0.82,0.30,0.17,19.45
210_05,0,0,0,0,0.68,0.17,0.99,0.67,0.67,0.55,0.68,18.29
210_06,0,0,0,0,0.90,0.09,1.00,0.74,0.59,0.65,2.35,16.49
210_07,0,0,0,0,1.72,0.12,1.00,0.74,0.58,0.65,2.36,16.26
210_08,0,0,0,0,3.17,0.34,0.99,0.53,0.63,0.55,0.74,17.79
224_01,0,0,0,0,0.22,0.32,0.87,0.87,0.20,0.78,26.63,7.30
224_02,0,1,0,0,0.39,0.34,0.88,0.87,0.19,0.76,27.71,9.13
224_03,1,0,0,0,0.57,0.57,0.89,0.73,0.17,0.72,29.03,10.99
224_04,0,0,0,0,0.82,0.35,0.89,0.84,0.18,0.71,30.51,12.57
224_05,0,0,0,0,1.31,0.18,0.90,0.83,0.17,0.71,32.14,14.01
224_06,0,0,0,0,1.18,0.33,0.92,0.73,0.16,0.72,33.95,15.36
224_07,0,0,0,0,0.44,0.59,0.92,0.79,0.20,0.75,22.72,9.50
224_08,0,0,0,0,0.39,0.55,0.84,0.75,0.21,0.71,22.21,11.25
225_01,1,0,0,1,0.26,0.37,0.86,0.92,0.20,0.75,25.38,5.85
225_02,0,0,1,0,0.27,0.36,0.83,0.91,0.19,0.74,24.69,3.96
225_03,0,0,0,0,0.19,0.41,0.87,0.89,0.18,0.75,24.29,2.08
225_04,0,0,0,0,0.27,0.34,0.87,0.88,0.17,0.76,24.55,0.64
225_05,0,0,0,0,0.66,0.53,0.92,0.71,0.14,0.72,24.95,1.61
225_06,0,0,0,0,0.31,0.32,0.93,0.74,0.15,0.71,25.35,3.38
225_07,0,0,0,0,0.21,0.20,0.89,0.88,0.17,0.75,26.15,4.96
225_08,0,0,0,0,0.96,0.10,0.91,0.87,0.17,0.73,25.32,5.28
226_01,0,0,0,0,3.11,0.59,1.00,0.37,0.49,0.62,15.47,22.63
226_02,1,0,0,0,4.26,0.72,0.98,0.35,0.25,0.64,16.00,21.11
226_03,0,0,0,0,3.62,0.78,0.98,0.20,0.22,0.62,16.57,19.78
226_04,0,0,0,0,1.86,0.68,0.98,0.35,0.23,0.63,17.08,18.17
226_05,0,0,0,0,0.54,0.64,0.96,0.37,0.23,0.64,16.34,16.63
226_06,0,0,0,1,0.59,0.67,0.95,0.45,0.23,0.64,15.30,15.50
226_07,1,1,1,1,0.99,0.68,0.97,0.40,0.24,0.63,14.52,16.10
226_08,1,0,0,0,0.56,0.51,1.00,0.38,0.47,0.62,13.95,18.12
227_01,0,0,0,0,0.46,0.52,1.00,0.39,0.67,0.63,6.89,35.51
227_02,0,0,0,0,0.31,0.30,1.00,0.54,0.67,0.66,8.51,34.29
227_03,0,0,0,0,0.69,0.28,1.00,0.56,0.64,0.64,10.08,32.56
227_04,0,1,1,1,0.45,0.63,1.00,0.51,0.61,0.62,11.17,30.65
227_05,1,0,.,.,1.11,0.81,1.00,0.30,0.58,0.59,10.60,29.26
227_06,0,0,0,0,1.22,0.72,1.00,0.32,0.58,0.60,11.16,28.93
227_07,0,0,0,0,2.08,0.52,1.00,0.49,0.58,0.61,12.62,29.15
227_08,1,1,1,1,1.75,0.58,1.00,0.41,0.57,0.59,13.32,29.45
227_09,0,1,0,0,0.80,0.60,1.00,0.41,0.56,0.61,13.42,28.49
227_11,0,0,0,0,1.72,0.83,1.00,0.22,0.58,0.58,9.63,29.06
239_01,0,0,0,0,2.09,0.97,0.99,0.04,0.40,0.60,31.03,34.76
239_02,0,0,0,0,1.91,1.00,0.99,0.04,0.38,0.60,32.60,35.02
239_03,0,0,0,0,1.31,0.99,0.99,0.04,0.38,0.60,33.81,34.82
239_04,0,1,1,1,0.89,0.95,0.99,0.05,0.37,0.60,33.93,33.56
239_05,1,1,.,.,1.00,0.97,0.99,0.06,0.38,0.59,33.91,32.53
241_01,0,0,1,0,2.86,0.67,0.94,0.38,0.23,0.58,28.78,29.74
241_02,1,0,1,1,1.80,0.71,0.94,0.32,0.22,0.59,30.00,31.58
241_03,1,0,0,0,0.33,0.46,0.95,0.62,0.25,0.63,31.13,33.44
241_04,0,0,.,.,0.14,0.51,0.94,0.60,0.24,0.63,32.13,33.92
241_05,0,0,0,0,0.87,0.68,0.94,0.48,0.23,0.60,31.21,32.49
241_06,0,0,0,0,2.35,0.86,0.94,0.24,0.22,0.57,29.34,30.75
241_07,0,0,.,.,2.21,0.46,0.98,0.42,0.23,0.62,27.91,29.34
242_01,0,0,0,0,0.85,0.36,0.86,0.83,0.26,0.72,19.37,16.59
242_02,0,0,0,0,0.71,0.50,0.88,0.75,0.27,0.71,18.81,18.40
242_03,0,0,0,0,2.08,0.84,0.90,0.32,0.23,0.58,19.53,19.98
242_04,0,0,0,0,3.54,0.95,0.87,0.28,0.22,0.55,21.12,21.40
242_05,0,0,0,0,3.75,0.75,0.91,0.38,0.23,0.58,22.63,23.01
242_06,0,0,0,1,3.78,0.69,0.93,0.35,0.23,0.58,23.98,24.75
242_07,1,0,0,0,3.55,0.84,0.93,0.28,0.22,0.59,25.38,26.46
242_08,0,0,1,0,2.53,0.97,0.91,0.20,0.21,0.56,27.26,27.85
255_01,0,0,0,0,0.58,0.65,0.99,0.13,0.40,0.61,5.61,1.03
255_02,0,0,0,1,0.58,0.76,0.99,0.10,0.39,0.61,6.93,2.56
255_03,0,0,0,0,1.07,0.96,0.98,0.06,0.38,0.60,8.35,4.46
255_04,0,0,1,1,0.33,0.89,0.98,0.09,0.40,0.63,10.27,6.50
255_05,0,0,.,.,1.66,0.55,0.99,0.16,0.42,0.61,4.49,0.79
255_06,0,0,0,0,2.49,0.91,0.98,0.09,0.42,0.60,3.12,2.47
