Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,AllPrey,Hum,Bound,Post
155_04,0,0,0,0,-0.05,-1.24,-0.58,-0.17,-1.36,0.35,1.22,0.06,-0.51,0.30,0.07
155_05,0,0,0,0,-0.25,-1.21,-0.46,-0.08,-1.36,0.44,1.18,0.20,-0.55,0.39,0.19
155_06,0,0,0,0,-0.48,-1.06,-0.28,-0.08,-1.30,0.53,1.15,0.20,-0.55,0.48,0.30
155_07,0,0,0,0,-0.42,-1.24,-0.28,-0.08,-1.25,0.53,1.11,0.20,-0.55,0.57,0.41
155_08,0,1,.,.,-0.15,-1.39,-0.28,-0.08,-1.25,0.53,1.07,0.20,-0.60,0.64,0.49
157_01,0,0,0,0,-0.12,1.34,-1.11,0.17,-1.41,0.35,1.15,-0.07,-0.41,-0.72,-1.28
157_02,0,0,0,0,0.12,1.26,-1.11,0.09,-1.41,0.35,1.15,-0.07,-0.41,-0.65,-1.16
157_03,0,0,0,0,0.83,1.04,-1.05,0.09,-1.36,0.35,1.11,-0.07,-0.46,-0.56,-1.07
157_04,0,1,1,1,-0.06,1.23,-0.99,0.00,-1.36,0.35,1.11,-0.07,-0.46,-0.50,-1.00
157_05,0,0,0,0,0.09,0.75,-1.11,-0.08,-1.36,0.35,1.11,-0.21,-0.46,-0.43,-0.87
157_06,0,1,1,0,1.63,0.16,-1.11,-0.08,-1.36,0.44,1.07,-0.21,-0.41,-0.38,-0.74
157_07,1,1,0,0,2.61,0.31,-1.11,-0.08,-1.25,0.35,0.97,-0.21,-0.46,-0.31,-0.64
157_08,0,0,0,0,2.88,0.27,-1.17,-0.17,-1.36,0.35,1.07,-0.21,-0.46,-0.25,-0.59
157_09,0,1,0,0,2.53,0.05,-1.11,-0.17,-1.25,0.44,0.93,-0.21,-0.51,-0.17,-0.47
158_01,0,1,1,1,-0.81,-1.28,1.79,1.35,-1.14,0.53,1.46,1.69,-0.22,-0.91,-1.67
158_02,1,0,0,0,-0.10,-0.25,0.31,0.84,-1.41,0.17,1.36,0.74,-0.36,-0.92,-1.70
158_03,0,0,0,0,0.50,0.23,-1.17,0.17,-1.36,0.44,1.11,-0.07,-0.46,-0.85,-1.57
158_04,0,0,1,0,-0.18,1.23,-1.11,0.17,-1.36,0.44,1.11,-0.07,-0.46,-0.77,-1.44
158_05,0,0,0,0,-0.46,-0.40,1.20,1.43,-1.41,-0.01,1.46,1.15,-0.03,-1.10,-1.46
158_06,0,0,0,0,-0.56,-0.54,1.37,1.60,-1.46,-0.19,1.53,1.28,0.07,-1.15,-1.34
158_07,0,0,0,0,-0.42,-0.62,1.55,1.86,-1.41,-0.10,1.50,1.42,0.21,-1.20,-1.22
158_08,0,0,0,1,-0.67,0.05,1.85,2.11,-1.36,-0.10,1.53,1.69,0.36,-1.26,-1.08
158_09,1,0,0,1,-0.57,0.49,1.37,1.86,-1.36,0.08,1.46,1.42,0.31,-1.31,-0.95
158_10,1,1,1,1,-0.11,1.41,-0.81,0.93,-1.41,0.35,1.18,0.20,0.12,-1.27,-0.89
158_11,0,1,.,.,-0.79,0.86,-0.75,0.93,-1.30,0.44,1.07,0.20,0.07,-1.23,-0.83
164_01,0,0,0,0,0.44,1.74,-1.05,-1.52,1.45,0.79,-1.40,-0.89,1.70,0.00,2.78
164_02,0,0,0,0,2.15,1.41,-0.99,-1.43,1.51,0.79,-1.43,-0.89,1.79,-0.09,2.89
164_03,0,0,0,0,2.36,1.49,-0.87,-1.35,1.51,0.88,-1.47,-0.75,1.84,-0.18,2.92
164_04,0,0,0,0,0.84,2.00,-0.46,-1.09,1.61,0.88,-1.54,-0.61,1.89,-0.27,2.90
164_05,0,0,.,.,-0.38,1.96,-0.16,-0.93,1.61,0.79,-1.47,-0.48,2.03,-0.34,2.89
164_06,0,0,0,0,-0.65,1.67,-0.16,-0.67,1.51,0.79,-1.40,-0.34,2.18,-0.62,2.76
164_07,0,1,0,0,-0.63,1.19,0.13,-0.59,1.45,0.79,-1.26,-0.07,2.18,-0.54,2.77
164_08,0,0,0,0,-0.60,1.52,-0.22,-0.84,1.51,0.79,-1.36,-0.34,2.08,-0.45,2.83
164_09,0,0,.,.,-0.86,1.67,-0.10,-0.84,1.56,0.79,-1.40,-0.34,2.08,-0.38,2.88
167_01,1,1,0,0,-0.92,-0.54,1.02,-0.42,0.87,0.53,-0.34,0.47,-0.60,0.86,0.88
167_02,0,0,0,0,-0.87,-0.47,0.90,-0.42,0.98,0.62,-0.62,0.47,-0.60,0.78,0.83
167_03,0,0,0,0,-0.78,-0.47,0.90,-0.42,0.98,0.71,-0.66,0.47,-0.55,0.70,0.81
167_04,0,0,0,.,-0.87,0.90,0.67,-0.59,1.29,0.44,-1.22,0.06,-0.60,0.64,0.79
171_01,0,0,0,0,0.90,-0.25,-0.58,-0.34,0.45,-1.08,-0.55,-0.75,-0.75,1.39,1.24
171_02,0,0,1,0,-0.42,-0.73,-0.28,-0.17,0.34,-0.72,-0.30,-0.34,-0.75,1.34,1.19
171_03,1,0,0,0,-0.28,0.12,-0.28,-0.17,0.61,-0.72,-0.73,-0.48,-0.79,1.27,1.10
171_04,0,0,0,.,-0.38,0.71,-0.52,-0.25,0.82,-1.08,-1.01,-0.75,-0.79,1.23,1.07
173_01,0,0,0,0,-0.50,-1.50,1.61,1.35,-1.41,-0.10,1.50,1.42,-0.41,-0.25,-1.07
173_02,0,0,0,0,0.02,-1.65,0.84,0.84,-1.30,0.35,1.32,1.01,-0.55,-0.17,-0.99
173_03,0,0,0,0,0.50,-1.54,0.43,0.59,-1.25,0.44,1.22,0.74,-0.60,-0.09,-0.91
173_04,0,0,0,0,2.21,-1.58,-0.81,0.00,-1.20,0.62,0.93,-0.07,-0.60,0.02,-0.49
173_05,0,0,0,0,1.47,-0.65,-0.81,-0.08,-1.14,0.62,0.86,-0.07,-0.60,0.03,-0.38
173_06,0,0,0,0,0.64,-0.91,-0.58,0.00,-0.99,0.71,0.69,0.06,-0.60,0.07,-0.27
173_07,0,0,0,1,-0.02,-1.35,-0.52,0.00,-1.20,0.62,1.00,0.06,-0.51,0.15,-0.14
173_08,0,0,.,.,-0.21,-0.65,-0.58,-0.08,-1.36,0.35,1.18,0.06,-0.51,0.21,-0.06
173_09,0,0,0,0,1.37,-0.95,-0.87,-0.08,-1.14,0.71,0.86,-0.07,-0.55,0.04,-0.27
173_10,0,0,0,0,1.61,-0.91,-0.81,-0.08,-1.14,0.71,0.86,-0.07,-0.51,0.08,-0.15
174_01,0,1,1,1,-0.83,-1.39,1.91,1.69,-1.41,-0.19,1.57,1.55,-0.07,-0.49,-0.80
174_02,0,1,1,1,-0.69,-1.50,1.85,1.60,-1.41,-0.27,1.57,1.55,0.02,-0.56,-0.71
174_03,1,0,1,0,-0.71,-1.50,1.85,1.69,-1.36,-0.01,1.53,1.55,0.07,-0.60,-0.61
174_04,0,0,0,1,-0.39,-1.43,1.91,1.77,-1.41,-0.27,1.57,1.55,0.21,-0.68,-0.59
174_05,1,0,1,1,-0.51,-1.50,1.73,1.60,-1.52,-0.54,1.60,1.42,0.21,-0.74,-0.61
174_06,1,1,1,0,-0.79,-1.61,1.91,1.77,-1.46,-0.45,1.60,1.55,0.26,-0.77,-0.63
174_07,0,0,1,0,-0.84,-1.35,1.85,1.69,-1.46,-0.36,1.57,1.55,0.21,-0.76,-0.60
174_08,0,0,1,0,-0.87,-1.54,1.79,1.60,-1.41,-0.27,1.57,1.42,0.21,-0.76,-0.58
175_01,1,1,1,1,-0.93,-1.58,1.91,1.69,-1.46,-0.54,1.60,1.55,0.26,-0.81,-0.64
175_02,1,0,1,1,-0.86,-1.54,1.73,1.43,-1.41,-0.19,1.57,1.42,0.26,-0.81,-0.62
175_03,1,0,0,1,-0.71,-1.02,1.79,1.27,-1.30,0.26,1.57,1.55,0.21,-0.76,-0.61
175_04,1,1,1,0,-0.75,-0.80,1.73,1.35,-1.30,0.26,1.50,1.55,0.07,-0.71,-0.71
175_05,0,0,1,0,-0.77,-0.36,1.85,1.60,-1.36,-0.10,1.53,1.55,0.07,-0.73,-0.84
175_06,0,0,0,0,-0.67,-0.73,1.85,1.60,-1.36,-0.10,1.53,1.55,0.02,-0.73,-0.94
175_07,0,0,0,0,-0.78,-0.47,1.67,1.52,-1.20,0.26,1.43,1.55,-0.17,-0.71,-1.04
175_08,1,1,0,0,-0.70,-0.65,1.91,1.69,-1.20,0.26,1.43,1.69,-0.12,-0.76,-1.14
175_09,0,0,0,0,-0.56,-0.43,1.85,1.69,-1.41,-0.27,1.57,1.55,-0.07,-0.80,-1.25
176_01,1,1,1,1,-0.56,1.01,-0.99,-1.18,-0.56,0.97,1.00,-0.07,0.93,-1.11,-1.16
176_02,1,0,0,0,0.42,0.67,-1.34,-1.18,-0.51,0.97,0.86,-0.34,0.98,-1.16,-1.11
176_03,0,0,0,0,0.92,-0.54,-1.34,-1.09,-0.61,0.97,1.00,-0.21,1.07,-1.23,-1.03
176_04,0,0,0,0,-0.32,-1.32,-1.34,-0.93,-0.61,0.97,0.97,-0.21,1.22,-1.29,-0.93
176_05,0,0,.,.,-0.71,-0.87,-1.40,-0.84,-0.46,0.97,0.76,-0.21,1.22,-1.35,-0.84
176_06,0,0,0,0,1.09,-0.47,-1.40,-1.18,-0.61,0.97,0.97,-0.34,1.03,-1.18,-1.10
176_07,0,0,0,0,0.14,1.26,-1.52,-1.35,-0.67,0.97,1.00,-0.34,0.88,-1.11,-1.23
176_08,0,0,0,0,-0.03,1.41,-1.58,-1.52,-0.72,0.97,1.04,-0.48,0.79,-1.06,-1.37
176_09,0,0,0,0,0.68,1.26,-1.29,-1.43,-0.67,0.97,1.07,-0.21,0.69,-1.04,-1.51
176_10,0,0,.,.,-0.14,1.63,0.31,-0.84,-0.77,0.88,1.39,0.61,0.84,-1.03,-1.60
185_01,0,0,0,0,-0.71,1.63,0.02,-0.08,1.24,-0.72,-1.43,-0.48,-1.03,0.63,-0.79
185_02,0,0,0,0,-0.03,1.96,0.07,0.00,1.35,-0.63,-1.50,-0.48,-0.98,0.56,-0.67
185_03,0,0,0,0,1.07,1.26,0.02,0.00,1.19,-0.45,-1.36,-0.48,-0.89,0.48,-0.54
185_04,0,0,0,0,1.43,1.04,0.02,0.09,1.24,0.17,-1.47,-0.34,-0.89,0.42,-0.41
185_05,0,0,0,0,-0.10,1.37,0.02,0.09,1.24,-0.01,-1.43,-0.34,-0.84,0.37,-0.27
185_06,1,1,0,0,-0.73,1.26,0.19,0.17,1.24,-0.01,-1.43,-0.21,-0.79,0.30,-0.14
185_07,0,0,0,0,0.39,1.37,-0.10,0.09,1.29,-0.10,-1.50,-0.34,-0.75,0.22,-0.01
186_01,0,1,1,0,-0.53,0.08,0.55,0.09,0.66,-0.72,-0.62,-0.07,-1.18,1.16,-1.71
186_02,0,1,1,1,-0.57,-0.06,0.61,0.09,0.71,-0.63,-0.66,0.06,-1.18,1.12,-1.59
186_03,0,0,0,0,0.35,0.75,0.25,-0.08,0.82,-1.17,-0.94,-0.48,-1.13,1.09,-1.46
186_04,0,0,0,0,1.73,0.60,0.13,-0.08,0.82,-0.72,-0.97,-0.34,-1.13,1.02,-1.33
186_05,0,0,0,0,1.77,0.31,0.25,0.00,0.87,-0.54,-0.97,-0.34,-1.08,0.95,-1.22
186_06,0,0,0,0,1.14,1.01,0.02,-0.08,0.98,-0.90,-1.15,-0.48,-1.08,0.87,-1.09
186_07,0,0,0,0,-0.17,1.26,-0.04,-0.08,1.14,-0.72,-1.33,-0.61,-1.08,0.78,-0.99
186_08,0,0,.,.,-0.78,1.23,0.07,-0.08,1.08,-0.90,-1.29,-0.48,-1.03,0.71,-0.91
186_09,0,0,.,.,-0.52,-0.32,0.31,0.00,0.71,-0.45,-0.76,-0.07,-1.18,1.18,-1.71
189_01,0,0,0,0,-0.86,-1.02,0.96,0.42,-0.93,0.53,0.97,0.88,-0.70,0.64,0.02
189_02,0,1,1,0,-0.81,-0.43,0.96,0.51,-0.72,0.44,0.72,0.74,-0.70,0.57,-0.04
189_03,0,1,1,0,-0.82,-0.58,0.67,0.34,-0.93,0.35,0.93,0.61,-0.65,0.49,-0.09
189_04,1,0,0,0,-0.75,-0.73,-0.69,-0.25,-0.88,0.62,0.51,-0.21,-0.75,0.41,-0.24
189_05,0,0,0,0,-0.42,-0.03,-1.11,-0.42,-0.61,0.44,0.09,-0.61,-0.79,0.47,-0.32
189_06,0,0,0,0,0.54,0.42,-1.17,-0.50,-0.46,0.44,-0.23,-0.75,-0.84,0.52,-0.39
189_07,0,1,1,.,0.46,0.49,-0.87,-0.34,-0.35,0.53,-0.30,-0.61,-0.84,0.51,-0.46
189_08,0,0,0,0,-0.03,-0.69,0.31,0.17,-0.99,0.62,0.90,0.47,-0.70,0.63,0.11
189_09,0,1,0,.,0.20,-1.06,-0.28,-0.08,-1.04,0.71,0.83,0.20,-0.70,0.58,0.19
190_01,0,0,0,1,-0.76,-0.14,0.13,0.09,-1.20,0.53,1.15,0.47,-0.60,0.52,0.24
190_02,0,0,0,0,-0.05,-1.32,0.02,0.09,-1.04,0.71,0.90,0.33,-0.60,0.48,0.14
190_03,0,0,0,0,0.95,-1.43,-0.28,0.00,-1.04,0.79,0.79,0.20,-0.65,0.44,0.03
190_04,0,0,0,0,1.42,-1.58,0.02,0.17,-0.83,0.88,0.58,0.33,-0.70,0.41,-0.07
190_05,1,1,1,1,0.21,-1.58,-0.10,0.17,-0.93,0.79,0.72,0.33,-0.70,0.37,-0.17
190_06,0,0,0,1,-0.71,-1.50,0.13,0.25,-0.93,0.79,0.76,0.47,-0.70,0.34,-0.25
190_07,1,0,0,0,0.39,-1.61,-0.28,0.09,-0.99,0.79,0.79,0.20,-0.70,0.30,-0.35
190_08,0,0,0,1,1.01,-1.35,-0.87,-0.17,-1.25,0.53,0.97,-0.07,-0.70,0.23,-0.47
191_01,0,0,0,0,-0.85,-0.51,0.61,0.59,-1.14,0.17,1.15,0.74,-0.55,-0.14,-0.80
191_02,0,1,0,0,-0.91,-0.21,0.55,0.59,-1.09,0.17,1.11,0.74,-0.55,-0.18,-0.92
191_03,1,0,1,1,-0.88,0.31,0.67,0.68,-1.14,0.35,1.15,0.88,-0.55,-0.22,-1.04
191_04,0,1,1,1,-0.76,0.31,0.84,0.84,-1.30,0.26,1.32,1.01,-0.55,-0.25,-1.15
191_05,0,0,0,0,-0.92,-1.17,1.20,1.01,-1.30,0.26,1.39,1.15,-0.51,-0.29,-1.25
191_06,0,1,0,1,-0.86,-0.95,0.90,0.93,-1.30,0.26,1.36,1.01,-0.55,-0.28,-1.27
191_07,1,0,0,0,0.06,-0.28,-0.52,0.25,-1.20,0.62,0.97,0.20,-0.70,-0.22,-1.21
191_08,0,0,0,0,1.16,-0.51,-0.93,0.09,-1.14,0.62,0.83,-0.07,-0.70,-0.17,-1.15
192_01,0,0,0,0,-0.20,1.30,-0.75,0.17,-1.14,0.71,1.07,0.20,-0.41,-0.83,-1.36
192_02,0,0,0,0,1.15,1.08,-1.05,0.42,-1.14,0.53,0.83,-0.07,-0.46,-0.83,-1.37
192_03,0,0,0,0,1.31,0.53,-1.11,0.42,-1.30,0.53,1.04,-0.07,-0.46,-0.78,-1.41
192_04,0,0,0,0,0.50,-0.36,-0.58,0.68,-1.30,0.53,1.11,0.33,-0.46,-0.76,-1.40
192_05,0,0,0,0,-0.66,-1.35,0.67,1.18,-1.36,0.17,1.39,1.01,-0.31,-0.77,-1.30
192_06,0,0,0,0,-0.64,-1.28,1.43,1.60,-1.46,-0.27,1.53,1.28,-0.12,-0.75,-1.21
192_07,0,0,0,0,-0.62,-0.28,1.55,1.60,-1.41,-0.19,1.53,1.42,-0.12,-0.72,-1.11
192_08,1,0,0,0,0.22,0.71,0.02,0.93,-1.30,0.44,1.22,0.61,-0.27,-0.76,-1.00
192_09,0,0,0,0,-0.28,0.93,0.02,0.93,-1.30,0.44,1.22,0.61,-0.22,-0.78,-0.93
192_10,1,0,0,0,-0.76,-1.02,1.14,1.35,-1.41,-0.01,1.46,1.15,-0.07,-0.76,-0.88
193_01,1,1,0,0,-0.83,-0.65,-3.00,-3.71,-2.79,-4.73,-0.37,-6.04,-1.42,-1.38,-1.52
193_02,0,0,0,0,-0.33,-1.24,-3.06,-3.79,-2.84,-3.93,-0.23,-5.76,-1.42,-1.39,-1.57
193_03,0,0,0,0,0.69,-1.17,-3.18,-3.88,-2.84,-3.84,-0.30,-5.90,-1.42,-1.39,-1.57
193_04,0,1,0,0,-0.31,-0.51,-1.64,-2.11,-1.78,0.62,0.86,-1.56,1.55,-1.43,-1.68
193_05,0,0,1,0,-0.42,-1.24,-0.10,-0.08,-0.56,0.97,1.15,0.61,0.93,-1.36,-1.70
193_06,1,1,0,0,1.05,-1.21,-1.29,-0.42,-0.51,0.97,0.86,-0.07,0.84,-1.34,-1.58
193_07,0,0,0,0,1.45,-0.25,-1.70,-0.50,-0.19,0.97,0.33,-0.48,0.84,-1.36,-1.45
193_08,0,0,0,0,0.45,0.19,-1.76,-0.67,-0.03,0.88,0.12,-0.61,0.88,-1.33,-1.32
193_09,0,0,0,0,-0.16,0.56,-1.88,-0.84,-0.03,0.88,0.05,-0.75,0.88,-1.27,-1.19
204_01,0,1,1,0,0.39,0.60,-0.22,-0.25,0.92,-0.72,-1.12,-0.61,-1.18,1.19,-1.58
204_02,0,0,0,0,1.68,0.97,-0.28,-0.25,1.08,-0.45,-1.33,-0.61,-1.22,1.20,-1.45
204_03,0,0,0,0,1.12,1.37,-0.28,-0.25,1.14,-0.72,-1.36,-0.75,-1.18,1.15,-1.36
204_04,0,0,0,0,-0.18,1.82,-0.04,-0.08,1.29,-0.54,-1.50,-0.48,-1.18,1.08,-1.28
204_05,0,0,0,0,-0.68,1.74,-0.10,-0.17,1.29,-0.90,-1.47,-0.61,-1.13,1.01,-1.15
204_06,0,0,0,0,0.21,1.93,-0.16,-0.17,1.35,-0.72,-1.54,-0.61,-1.18,1.02,-1.07
204_08,0,0,0,0,-0.17,0.08,0.61,0.25,0.82,-0.45,-0.87,0.06,-1.13,1.13,-0.94
204_09,0,0,0,0,0.11,0.60,0.43,0.17,1.14,0.08,-1.33,-0.07,-1.18,1.14,-1.03
207_01,1,0,0,0,-0.28,0.42,-0.10,0.00,-0.35,0.44,-0.13,-0.07,-0.84,0.49,-0.53
207_02,0,0,.,.,-0.83,0.42,0.37,0.25,-0.35,0.44,-0.02,0.20,-0.84,0.46,-0.59
207_03,1,1,1,1,-0.79,0.53,0.72,0.42,-0.19,0.53,-0.16,0.47,-0.84,0.46,-0.61
207_04,1,1,1,1,-0.82,0.64,0.90,0.51,-0.30,0.44,0.05,0.47,-0.84,0.48,-0.59
207_05,1,0,.,.,-0.86,0.27,1.02,0.59,-0.35,0.62,0.16,0.74,-0.84,0.50,-0.58
207_06,0,0,0,0,-0.03,1.45,-0.40,-0.08,-0.03,0.44,-0.66,-0.48,-0.89,0.38,-0.70
207_07,0,0,0,0,0.64,-0.65,-0.52,-0.08,-0.88,0.62,0.58,-0.07,-0.84,0.31,-0.78
207_08,0,0,0,0,1.01,-0.43,-0.81,-0.17,-0.88,0.62,0.47,-0.21,-0.84,0.27,-0.82
208_01,1,1,0,0,-0.87,-1.35,1.85,1.43,-1.36,-0.19,1.53,1.55,0.07,-0.42,-0.28
208_02,0,0,0,0,-0.89,-1.28,1.79,1.35,-1.36,-0.19,1.53,1.42,0.07,-0.36,-0.18
208_03,1,1,1,0,-0.92,-1.28,1.79,1.35,-1.36,-0.27,1.53,1.42,0.02,-0.29,-0.24
208_04,0,0,1,1,-0.86,-1.21,1.85,1.35,-1.36,-0.27,1.53,1.42,-0.07,-0.21,-0.37
208_05,1,0,0,1,-0.73,-1.43,1.85,1.35,-1.36,-0.27,1.53,1.42,-0.22,-0.13,-0.51
208_06,1,1,1,1,-0.56,-1.21,1.85,1.43,-1.25,-0.01,1.46,1.55,-0.36,-0.06,-0.63
208_07,1,0,0,0,-0.76,-1.10,1.91,1.43,-1.14,0.17,1.39,1.55,-0.46,-0.03,-0.76
208_08,0,0,0,0,-0.86,-0.69,1.91,1.43,-1.25,-0.19,1.46,1.55,-0.41,-0.08,-0.89
208_09,0,0,.,.,-0.93,-0.91,1.91,1.43,-1.25,-0.27,1.46,1.55,-0.41,-0.13,-0.98
209_01,0,0,0,0,-0.80,-0.40,2.08,1.86,-1.36,-0.19,1.57,1.69,0.12,-0.62,-0.79
209_02,0,0,0,0,-0.83,-1.21,1.97,1.69,-1.41,-0.36,1.57,1.55,0.12,-0.60,-0.67
209_03,0,0,0,1,-0.77,-1.10,1.91,1.60,-1.36,-0.10,1.53,1.55,0.07,-0.56,-0.58
209_04,0,1,1,1,-0.71,-0.43,1.26,1.10,-1.20,0.26,1.36,1.28,-0.17,-0.50,-0.54
209_05,1,0,0,0,0.28,0.34,-0.58,0.25,-1.09,0.62,0.83,0.06,-0.36,-0.46,-0.62
209_06,0,0,0,0,1.67,1.01,-0.75,0.17,-1.14,0.62,0.86,0.06,-0.46,-0.44,-0.73
209_07,0,0,0,0,2.37,1.08,-0.58,0.25,-1.14,0.71,0.90,0.20,-0.51,-0.40,-0.82
209_08,0,0,0,0,2.46,0.23,-0.64,0.25,-0.93,0.71,0.62,0.06,-0.51,-0.37,-0.74
210_01,0,0,0,0,-0.44,-1.06,-0.69,-0.84,-0.56,0.97,0.72,-0.07,1.75,-1.43,-0.24
210_02,0,0,1,0,0.29,0.31,-2.29,-2.44,-1.62,0.79,0.23,-2.24,2.13,-1.43,-0.28
210_03,0,0,0,0,-0.21,-0.10,-2.94,-3.37,-2.36,0.17,0.16,-3.60,2.32,-1.44,-0.32
210_04,0,0,0,0,-0.84,-0.28,-3.12,-3.71,-2.68,-1.43,-0.02,-4.68,2.51,-1.44,-0.37
210_05,0,0,0,0,-0.46,-1.02,-2.05,-1.85,-1.25,0.88,0.65,-1.29,1.79,-1.42,-0.45
210_06,0,0,0,0,-0.26,-1.32,-0.93,-0.67,-0.46,0.97,0.90,0.06,1.41,-1.34,-0.58
210_07,0,0,0,0,0.46,-1.21,-0.99,-0.76,-0.51,0.97,0.90,0.06,1.36,-1.34,-0.60
210_08,0,0,0,0,1.74,-0.40,-2.05,-1.60,-0.61,0.88,0.16,-1.29,1.60,-1.42,-0.49
224_01,0,0,0,0,-0.86,-0.47,2.26,1.77,-0.88,-0.19,1.36,1.82,-0.46,-0.18,-1.24
224_02,1,1,1,1,-0.71,-0.40,1.85,1.35,-1.04,-0.10,1.36,1.55,-0.51,-0.13,-1.11
224_03,0,0,1,0,-0.56,0.45,1.20,0.84,-0.77,-0.01,0.86,1.01,-0.60,-0.07,-0.98
224_04,0,0,0,0,-0.33,-0.36,1.02,0.68,-1.14,-0.01,1.25,0.88,-0.55,0.00,-0.86
224_05,1,1,0,1,0.10,-0.99,1.02,0.59,-1.14,0.08,1.22,0.88,-0.60,0.08,-0.76
224_06,0,0,0,0,-0.02,-0.43,1.14,0.68,-0.77,0.26,0.86,1.01,-0.65,0.17,-0.66
224_07,0,0,0,0,-0.67,0.53,1.61,1.27,-0.88,0.26,1.07,1.42,-0.46,-0.37,-1.08
224_08,1,0,0,1,-0.71,0.38,1.20,0.93,-0.77,-0.45,0.93,0.88,-0.41,-0.39,-0.96
225_01,0,0,0,0,-0.83,-0.28,1.79,1.35,-1.41,-0.27,1.53,1.42,-0.46,-0.24,-1.34
225_02,1,1,1,1,-0.82,-0.32,1.67,1.27,-1.30,-0.54,1.50,1.28,-0.51,-0.27,-1.48
225_03,1,1,1,1,-0.89,-0.14,1.73,1.35,-1.20,-0.19,1.43,1.42,-0.55,-0.29,-1.61
225_04,1,1,1,1,-0.82,-0.40,1.91,1.43,-1.09,-0.19,1.39,1.55,-0.60,-0.28,-1.72
225_05,0,0,0,0,-0.48,0.31,1.20,1.01,-0.72,0.26,0.79,1.01,-0.75,-0.27,-1.65
225_06,0,0,0,0,-0.78,-0.47,0.96,0.84,-0.88,0.35,0.90,0.88,-0.70,-0.24,-1.52
225_07,0,0,0,0,-0.87,-0.91,1.67,1.27,-1.20,-0.01,1.39,1.42,-0.60,-0.20,-1.41
225_08,0,0,0,0,-0.21,-1.28,1.26,1.01,-1.25,0.17,1.36,1.15,-0.60,-0.25,-1.39
228_01,0,0,0,0,-0.33,1.96,-0.87,-0.76,0.92,0.97,-1.19,-0.61,1.46,-1.14,0.40
228_02,0,0,0,0,-0.19,1.63,-0.75,-0.67,0.71,0.97,-0.90,-0.48,1.51,-1.18,0.30
228_03,0,0,0,0,-0.87,0.23,-0.40,-0.59,0.18,0.97,0.01,0.06,1.60,-1.23,0.18
228_04,0,0,0,0,0.87,1.56,-1.29,-1.09,0.66,0.97,-0.94,-0.89,1.46,-1.25,0.04
228_05,0,0,0,0,-0.60,0.67,-0.69,-0.67,0.34,0.97,-0.27,-0.21,1.60,-1.28,0.09
228_06,1,1,1,1,-0.84,-0.47,-0.28,-0.42,0.02,0.97,0.37,0.20,1.65,-1.35,0.02
228_07,1,0,0,0,-0.85,-1.50,-1.23,-1.60,-1.20,0.88,0.72,-0.89,2.03,-1.43,-0.09
241_01,0,0,0,0,1.47,0.82,-1.29,-0.34,-0.35,0.44,-0.37,-0.89,-0.31,-0.08,0.37
241_02,0,0,0,0,0.53,0.97,-1.11,-0.34,-0.19,0.44,-0.59,-0.75,-0.36,-0.02,0.50
241_03,0,0,0,0,-0.77,0.05,-0.69,-0.17,-0.83,0.53,0.47,-0.21,-0.22,0.03,0.64
241_04,0,0,.,.,-0.93,0.23,-0.75,-0.17,-0.77,0.44,0.40,-0.21,-0.27,0.08,0.67
241_05,0,0,0,0,-0.29,0.86,-0.99,-0.34,-0.56,0.44,-0.02,-0.61,-0.31,0.03,0.57
241_06,0,0,0,1,1.02,1.52,-1.29,-0.50,-0.03,0.44,-0.87,-1.02,-0.36,-0.06,0.44
241_07,1,0,.,.,0.89,0.05,-0.69,-0.08,-0.40,0.79,-0.23,-0.34,-0.31,-0.12,0.34
242_01,0,0,0,0,-0.31,-0.32,1.14,1.01,-1.04,-0.27,1.22,1.01,-0.17,-0.53,-0.57
242_02,0,1,1,0,-0.43,0.19,1.08,1.01,-0.83,-0.10,0.93,0.88,-0.12,-0.56,-0.44
242_03,0,1,0,0,0.78,1.45,-1.29,-0.17,-0.19,0.08,-0.59,-0.89,-0.31,-0.52,-0.33
242_04,1,0,0,0,2.07,1.85,-1.64,-0.42,-0.14,-0.19,-0.73,-1.29,-0.36,-0.45,-0.23
242_05,1,0,0,0,2.25,1.12,-1.29,-0.25,-0.35,0.17,-0.37,-0.89,-0.31,-0.37,-0.11
242_06,0,0,1,1,2.28,0.90,-1.23,-0.25,-0.30,0.35,-0.48,-0.89,-0.31,-0.31,0.01
242_07,1,0,0,1,2.08,1.45,-1.05,-0.17,-0.08,0.35,-0.73,-0.75,-0.36,-0.24,0.14
242_08,0,0,0,0,1.18,1.93,-1.34,-0.34,0.13,0.17,-1.01,-1.16,-0.41,-0.15,0.24
244_01,0,0,0,0,0.20,0.38,-0.16,-0.42,1.19,0.97,-1.08,-0.21,1.03,-0.88,-0.19
244_02,0,0,0,0,1.35,1.19,-0.46,-0.42,1.51,0.88,-1.43,-0.34,0.98,-0.95,-0.07
244_03,0,0,0,0,0.88,0.42,-0.58,-0.34,1.08,0.97,-1.01,-0.34,1.27,-1.04,0.04
244_04,0,0,0,0,-0.33,-1.06,-0.58,-0.25,0.02,0.97,0.30,0.06,1.51,-1.13,0.15
244_05,0,0,0,0,-0.60,0.49,-0.58,0.09,0.76,0.97,-0.80,-0.21,1.55,-1.22,0.28
244_06,0,0,1,1,-0.68,0.05,-0.69,0.34,0.23,0.97,-0.16,0.06,1.70,-1.31,0.41
